Cameraraid,Date,Violations,Latitude,Longtitude,Zipcode
2142,1/5/15,2,41.80838,-87.68457,60609
2213,1/5/15,1,41.79398,-87.684143,60609
2264,1/5/15,11,41.79467,-87.630547,60609
2172,1/5/15,1,41.801079,-87.683815,60609
2191,1/5/15,6,41.80851,-87.665115,60609
2141,1/5/15,1,41.80838,-87.68457,60609
2192,1/5/15,1,41.80851,-87.665115,60609
2091,1/5/15,1,41.830189,-87.685181,60609
2274,1/5/15,4,41.794132,-87.664642,60609
2244,1/5/15,1,41.793312,-87.723221,60632
2153,1/5/15,1,41.802364,-87.723579,60632
2162,1/5/15,2,41.793419,-87.703697,60632
2242,1/5/15,1,41.793156,-87.723305,60632
2204,1/5/15,6,41.807728,-87.743233,60632
2212,1/5/15,5,41.793369,-87.684174,60632
2114,1/5/15,1,41.823097,-87.68502,60632
2101,1/5/15,2,41.808048,-87.704117,60632
1161,1/5/15,1,41.953144,-87.776924,60634
1391,1/5/15,1,41.938084,-87.8069,60634
1182,1/5/15,1,41.953274,-87.767151,60634
1024,1/5/15,4,41.953026,-87.786682,60634
1491,1/5/15,1,41.945812,-87.776649,60634
1591,1/5/15,3,41.945339,-87.807152,60634
1602,1/5/15,1,41.938618,-87.766647,60634
1183,1/5/15,4,41.953293,-87.767067,60634
1394,1/5/15,1,41.938107,-87.806808,60634
1163,1/5/15,1,41.953163,-87.77684,60634
1132,1/5/15,1,41.976494,-87.655136,60640
1111,1/5/15,1,41.976414,-87.660011,60640
1113,1/5/15,1,41.976433,-87.659935,60640
1143,1/5/15,1,41.968987,-87.669518,60640
1142,1/5/15,4,41.969025,-87.669594,60640
1364,1/5/15,2,41.960522,-87.754372,60641
1611,1/5/15,3,41.946163,-87.747215,60641
1574,1/5/15,2,41.953758,-87.727699,60641
1292,1/5/15,2,41.961025,-87.727974,60641
1383,1/5/15,1,41.939205,-87.72731,60641
1764,1/5/15,2,41.91103,-87.648338,60614
1701,1/5/15,2,41.925541,-87.648911,60614
1652,1/5/15,7,41.925194,-87.668297,60614
1704,1/5/15,1,41.925564,-87.648827,60614
1621,1/5/15,14,41.932446,-87.668541,60614
1651,1/5/15,6,41.925194,-87.668297,60614
1761,1/5/15,6,41.910942,-87.648422,60614
1632,1/5/15,2,41.925598,-87.640648,60614
2562,1/5/15,6,41.744152,-87.585945,60617
2563,1/5/15,1,41.744316,-87.58532,60617
2513,1/5/15,3,41.72245,-87.585007,60617
2514,1/5/15,9,41.72245,-87.585007,60617
1102,1/5/15,1,41.97562,-87.728386,60630
1104,1/5/15,2,41.975639,-87.728333,60630
1063,1/5/15,2,41.975395,-87.751747,60630
1284,1/5/15,3,41.968227,-87.739601,60630
1173,1/5/15,1,41.968349,-87.728088,60630
1062,1/5/15,1,41.975258,-87.751991,60630
1282,1/5/15,3,41.96804,-87.74028,60630
1042,1/5/15,2,41.968048,-87.747879,60630
2081,1/5/15,5,41.798557,-87.743073,60638
2202,1/5/15,1,41.807529,-87.743294,60638
2073,1/5/15,12,41.792454,-87.781876,60638
2074,1/5/15,5,41.792454,-87.781876,60638
2084,1/5/15,3,41.798759,-87.743019,60638
1274,1/5/15,2,41.997463,-87.787613,60631
1081,1/5/15,2,41.997021,-87.806946,60631
1082,1/5/15,3,41.997021,-87.806946,60631
1272,1/5/15,1,41.997383,-87.788078,60631
1244,1/5/15,1,42.011662,-87.812782,60631
1243,1/5/15,2,42.011662,-87.812782,60631
1321,1/5/15,3,41.99765,-87.699791,60659
1014,1/5/15,4,41.990608,-87.689735,60659
1313,1/5/15,3,41.990551,-87.699463,60659
1311,1/5/15,2,41.990528,-87.699554,60659
2751,1/5/15,8,41.99445,-87.714211,60659
1011,1/5/15,1,41.990585,-87.689819,60659
2741,1/5/15,1,41.993843,-87.714241,60659
1934,1/5/15,3,41.881271,-87.686539,60612
2462,1/5/15,2,41.751461,-87.585976,60619
2624,1/5/15,5,41.758076,-87.624672,60619
2603,1/5/15,6,41.722153,-87.604446,60619
2654,1/5/15,12,41.750851,-87.624466,60619
2464,1/5/15,2,41.75161,-87.585594,60649
2631,1/5/15,6,41.756897,-87.586235,60649
2721,1/5/15,3,41.773293,-87.586441,60649
2663,1/5/15,1,41.751717,-87.57592,60649
2731,1/5/15,2,41.773251,-87.585228,60649
2632,1/5/15,5,41.756897,-87.586235,60649
1964,1/5/15,1,41.896744,-87.631325,60610
1524,1/5/15,11,41.92371,-87.795303,60707
1523,1/5/15,5,41.92371,-87.795303,60707
1302,1/5/15,5,42.005077,-87.690216,60645
2454,1/5/15,4,41.735897,-87.663132,60620
2621,1/5/15,1,41.758091,-87.624901,60620
2452,1/5/15,5,41.735699,-87.663208,60620
2651,1/5/15,1,41.750919,-87.624687,60620
2484,1/5/15,1,41.750221,-87.682816,60620
2412,1/5/15,4,41.736008,-87.64534,60620
2502,1/5/15,6,41.736164,-87.625587,60620
2503,1/5/15,7,41.736378,-87.625618,60620
2543,1/5/15,1,41.750751,-87.644104,60620
2541,1/5/15,1,41.750549,-87.644188,60620
2641,1/5/15,2,41.743263,-87.643974,60620
2182,1/5/15,7,41.79158,-87.585564,60637
2181,1/5/15,11,41.79158,-87.585564,60637
2714,1/5/15,3,41.779949,-87.62529,60637
1151,1/5/15,2,41.95438,-87.669197,60613
1091,1/5/15,2,41.954433,-87.662445,60613
1093,1/5/15,4,41.954487,-87.662292,60613
2001,1/5/15,1,41.916973,-87.746262,60639
1453,1/5/15,1,41.931248,-87.776031,60639
2033,1/5/15,4,41.909733,-87.746246,60639
1843,1/5/15,1,41.917274,-87.726624,60639
1694,1/5/15,1,41.931641,-87.746719,60639
2034,1/5/15,1,41.909733,-87.746246,60639
1424,1/5/15,2,41.924217,-87.75621,60639
2012,1/5/15,2,41.910183,-87.736252,60639
1554,1/5/15,3,41.923786,-87.785568,60639
2013,1/5/15,1,41.909863,-87.736382,60639
1454,1/5/15,1,41.931248,-87.776031,60639
1474,1/5/15,1,41.924347,-87.746429,60639
1642,1/5/15,1,41.931366,-87.766396,60639
1644,1/5/15,1,41.931385,-87.766312,60639
1691,1/5/15,1,41.931576,-87.746742,60639
1834,1/5/15,2,41.917511,-87.707054,60647
1663,1/5/15,11,41.925137,-87.677963,60647
1851,1/5/15,5,41.910408,-87.68737,60647
1773,1/5/15,1,41.910164,-87.711952,60647
1662,1/5/15,1,41.925037,-87.678047,60647
1671,1/5/15,5,41.924934,-87.68779,60647
1513,1/5/15,1,41.932205,-87.697678,60647
1861,1/5/15,2,41.917603,-87.687561,60647
1853,1/5/15,1,41.910431,-87.687286,60647
1583,1/5/15,1,41.932087,-87.712387,60647
1514,1/5/15,22,41.932205,-87.697678,60647
1431,1/5/15,1,41.932217,-87.688034,60647
1511,1/5/15,3,41.932121,-87.697762,60647
1781,1/5/15,1,41.89505,-87.745956,60651
1801,1/5/15,2,41.902714,-87.726448,60651
1783,1/5/15,4,41.895111,-87.745934,60651
1982,1/5/15,2,41.895458,-87.726227,60651
2531,1/5/15,3,41.692162,-87.663475,60643
2473,1/5/15,2,41.721325,-87.662727,60643
2422,1/5/15,10,41.692265,-87.642525,60643
2472,1/5/15,5,41.721161,-87.662827,60643
2532,1/5/15,2,41.692162,-87.663475,60643
1413,1/5/15,29,41.940243,-87.639641,60657
1412,1/5/15,3,41.94091,-87.639366,60657
2323,1/5/15,4,41.866142,-87.735092,60624
1882,1/5/15,5,41.885284,-87.721069,60624
2314,1/5/15,3,41.86628,-87.725235,60624
1903,1/5/15,5,41.880898,-87.720879,60624
2321,1/5/15,2,41.86594,-87.735107,60624
2311,1/5/15,4,41.866081,-87.725304,60624
1881,1/5/15,8,41.885284,-87.721069,60624
2581,1/5/15,2,41.721367,-87.643356,60628
2593,1/5/15,1,41.707027,-87.642899,60628
2404,1/5/15,2,41.677925,-87.641991,60628
2431,1/5/15,10,41.714119,-87.643143,60628
2433,1/5/15,8,41.714325,-87.643066,60628
2602,1/5/15,4,41.72197,-87.603348,60628
2302,1/5/15,2,41.837734,-87.665894,60608
1002,1/5/15,3,41.851982,-87.685783,60608
2283,1/5/15,1,41.848457,-87.67627,60608
2301,1/5/15,1,41.837624,-87.665886,60608
2061,1/5/15,1,41.837276,-87.695175,60608
2291,1/5/15,3,41.867176,-87.639374,60607
2234,1/5/15,10,41.867264,-87.646973,60607
2233,1/5/15,6,41.867264,-87.646973,60607
2294,1/5/15,5,41.867363,-87.63929,60607